,title,labelnumber,cluster_ID
426,t0149x0095y0079ps64.tif,14900950079.0,0
427,t0149x0095y0143ps64.tif,14900950143.0,0
428,t0149x0159y0079ps64.tif,14901590079.0,0
429,t0149x0159y0143ps64.tif,14901590143.0,1
430,t0149x0223y0079ps64.tif,14902230079.0,0
431,t0149x0223y0143ps64.tif,14902230143.0,1
432,t0149x0287y0079ps64.tif,14902870079.0,0
433,t0149x0287y0143ps64.tif,14902870143.0,1
434,t0149x0351y0079ps64.tif,14903510079.0,1
435,t0149x0351y0143ps64.tif,14903510143.0,0
436,t0150x0095y0079ps64.tif,15000950079.0,0
437,t0150x0095y0143ps64.tif,15000950143.0,0
438,t0150x0159y0079ps64.tif,15001590079.0,0
439,t0150x0159y0143ps64.tif,15001590143.0,1
440,t0150x0223y0079ps64.tif,15002230079.0,0
441,t0150x0223y0143ps64.tif,15002230143.0,1
442,t0150x0287y0079ps64.tif,15002870079.0,1
443,t0150x0287y0143ps64.tif,15002870143.0,1
444,t0150x0351y0079ps64.tif,15003510079.0,1
445,t0150x0351y0143ps64.tif,15003510143.0,0
446,t0151x0095y0079ps64.tif,15100950079.0,0
447,t0151x0095y0143ps64.tif,15100950143.0,0
448,t0151x0159y0079ps64.tif,15101590079.0,0
449,t0151x0159y0143ps64.tif,15101590143.0,1
450,t0151x0223y0079ps64.tif,15102230079.0,0
451,t0151x0223y0143ps64.tif,15102230143.0,1
452,t0151x0287y0079ps64.tif,15102870079.0,0
453,t0151x0287y0143ps64.tif,15102870143.0,1
454,t0151x0351y0079ps64.tif,15103510079.0,1
455,t0151x0351y0143ps64.tif,15103510143.0,0
456,t0152x0095y0079ps64.tif,15200950079.0,0
457,t0152x0095y0143ps64.tif,15200950143.0,0
458,t0152x0159y0079ps64.tif,15201590079.0,0
459,t0152x0159y0143ps64.tif,15201590143.0,1
460,t0152x0223y0079ps64.tif,15202230079.0,0
461,t0152x0223y0143ps64.tif,15202230143.0,1
462,t0152x0287y0079ps64.tif,15202870079.0,0
463,t0152x0287y0143ps64.tif,15202870143.0,1
464,t0152x0351y0079ps64.tif,15203510079.0,1
465,t0152x0351y0143ps64.tif,15203510143.0,0
466,t0153x0095y0079ps64.tif,15300950079.0,0
467,t0153x0095y0143ps64.tif,15300950143.0,0
468,t0153x0159y0079ps64.tif,15301590079.0,0
469,t0153x0159y0143ps64.tif,15301590143.0,1
470,t0153x0223y0079ps64.tif,15302230079.0,0
471,t0153x0223y0143ps64.tif,15302230143.0,1
472,t0153x0287y0079ps64.tif,15302870079.0,0
473,t0153x0287y0143ps64.tif,15302870143.0,1
474,t0153x0351y0079ps64.tif,15303510079.0,1
475,t0153x0351y0143ps64.tif,15303510143.0,0
